Label,S1,S2,S3,S4,S5,S6,S7
0,22.14,33.03,26.33,40.67,2.21,14.23,56.5
1,4.67,1.9,2.27,1.37,62.53,5.17,82.0
0,25.23,9.16,8.51,13.68,5.88,16.63,64.6
1,4.54,1.83,2.26,1.39,65.15,4.82,82.6
0,25.85,7.16,8.37,5.59,11.76,16.84,72.2
1,4.48,1.79,2.26,1.32,62.53,4.76,82.5
1,4.93,2.06,2.41,3.08,61.28,4.37,76.8
0,22.96,41.76,29.87,48.98,2.21,14.58,55.8
0,21.93,7.22,6.25,6.99,9.65,15.12,71.6
0,21.64,32.32,26.07,39.29,2.19,14.11,56.5
0,24.87,9.16,8.08,12.29,6.12,17.12,66.8
1,4.57,1.86,2.26,1.45,62.53,4.89,82.2
1,4.91,3.04,2.41,3.22,59.5,4.41,76.0
1,4.88,2.03,2.41,2.69,62.53,4.37,78.0
0,27.15,7.58,8.78,4.94,12.56,16.77,72.5
1,4.71,1.86,2.26,1.41,62.53,4.84,82.0
1,4.88,2.11,2.42,3.36,53.21,4.33,75.2
1,4.88,2.07,2.41,3.01,61.28,4.43,76.8
1,4.99,2.11,2.44,3.16,53.69,4.35,75.5
1,4.93,2.04,2.42,3.17,100.52,4.39,76.6
1,5.4,2.38,2.45,3.46,37.92,4.19,73.8
1,4.84,1.98,2.41,2.53,64.47,4.31,78.2
1,4.67,1.94,2.3,1.52,63.81,5.06,82.0
0,23.28,8.27,6.86,8.46,8.02,16.56,70.8
0,26.62,7.37,8.57,5.0,13.09,16.42,72.7
1,4.42,1.75,2.24,1.36,64.47,4.74,83.0
0,21.93,7.19,6.22,7.07,9.46,15.5,71.5
1,17.11,8.94,3.52,4.0,15.42,12.82,73.2
1,7.36,8.94,2.51,3.79,16.87,7.6,73.7
1,4.93,2.18,2.44,3.43,51.82,4.27,75.1
1,4.88,2.01,2.41,2.84,60.09,4.31,76.2
1,4.67,1.97,2.32,1.5,63.81,5.0,82.2
1,5.15,2.23,2.44,3.01,48.8,4.23,74.8
0,24.29,8.84,7.74,10.76,6.57,16.7,69.3
1,4.91,2.04,2.41,2.87,62.53,4.33,77.3
0,21.93,30.0,24.72,36.27,2.18,14.23,56.5
0,21.84,7.16,6.22,7.04,9.46,15.5,71.5
0,22.44,6.99,6.3,6.51,10.37,15.37,72.6
1,4.52,1.85,2.24,1.39,64.47,4.76,83.4
1,4.93,2.07,2.39,2.86,64.47,4.29,77.4
1,4.63,1.94,2.3,1.48,63.81,4.98,82.2
1,4.93,2.07,2.42,2.92,59.5,4.39,76.0
0,22.75,7.98,6.75,8.24,8.25,16.35,70.9
1,5.38,2.45,2.45,3.44,31.71,4.39,73.8
1,4.93,2.04,2.41,2.93,61.9,4.27,77.4
0,23.72,6.77,6.75,6.25,11.15,16.28,72.7
1,4.73,2.0,2.29,1.57,61.28,5.04,82.9
1,4.84,2.01,2.41,2.7,62.53,4.31,78.0
0,22.96,8.11,6.83,8.37,8.05,16.49,71.4
1,4.91,2.03,2.42,2.98,60.68,4.39,76.4
1,4.93,2.06,2.42,3.01,61.28,4.41,76.1
1,4.93,2.06,2.42,3.08,61.28,4.41,77.3
1,4.91,2.04,2.42,2.7,64.47,4.41,77.4
0,22.14,7.31,6.3,7.29,9.28,15.37,71.2
0,26.23,7.05,8.51,5.06,13.09,16.22,72.5
1,4.59,1.83,2.29,1.39,62.53,4.89,82.0
1,4.88,2.07,2.42,2.83,63.81,4.37,77.4
1,4.52,1.82,2.27,1.37,61.28,4.76,83.1
1,5.4,8.47,2.48,3.76,21.55,4.91,73.7
0,22.65,8.01,6.75,8.27,8.15,16.22,70.9
1,4.54,1.83,2.26,1.42,63.81,4.89,82.1
0,23.18,6.61,6.97,4.66,15.09,14.88,72.8
0,24.75,9.09,7.99,11.75,6.27,16.91,67.8
1,4.93,2.07,2.42,3.1,58.36,4.41,76.0
1,6.08,10.46,2.51,3.79,17.1,5.22,73.6
0,25.47,9.16,8.44,13.62,5.86,16.42,64.7
1,16.83,10.26,2.89,4.54,13.54,12.72,73.4
0,22.03,7.37,6.3,7.15,9.46,15.62,71.3
1,4.52,1.86,2.29,1.39,62.53,4.78,82.4
1,4.5,1.82,2.26,1.41,62.53,4.82,83.5
0,23.95,33.03,26.2,41.54,2.23,15.25,56.5
1,4.52,1.82,2.27,1.38,64.47,4.82,82.5
0,24.29,8.77,7.46,9.94,6.97,16.77,69.8
0,24.99,8.04,7.65,4.9,13.49,15.69,72.8
0,23.83,6.26,6.92,4.39,15.02,15.31,72.5
1,5.52,6.42,2.5,3.21,21.33,5.11,73.7
1,4.69,1.97,2.29,1.59,61.9,5.0,82.6
0,22.44,7.02,6.27,6.64,10.25,15.95,72.6
1,4.52,1.82,2.26,1.38,64.47,4.8,82.7
1,4.52,1.83,2.27,1.38,61.28,4.82,82.1
0,24.4,8.87,7.74,10.89,6.47,16.22,68.9
0,24.29,8.84,7.52,10.06,6.97,16.84,69.7
0,25.97,37.21,27.25,47.47,2.21,15.95,56.2
1,5.38,2.67,2.45,3.49,29.11,4.51,73.7
0,25.72,7.05,8.11,5.7,11.76,16.42,72.2
0,22.14,6.74,6.14,6.28,10.79,15.25,72.3
0,18.87,25.54,21.9,28.82,2.13,12.67,56.5
1,4.91,2.03,2.42,3.19,60.68,4.35,76.3
0,22.65,32.85,26.46,41.54,2.26,14.64,56.5
0,15.18,4.19,3.98,4.78,17.91,12.23,72.6
0,25.35,9.16,8.54,13.85,5.86,16.08,63.5
1,16.62,9.09,3.11,4.26,14.89,12.27,73.4
1,4.84,2.0,2.42,2.69,64.47,4.35,78.0
0,24.29,33.4,26.07,41.25,2.23,15.31,56.5
1,4.5,1.81,2.24,1.36,64.47,4.87,82.5
0,23.95,8.63,7.26,9.41,7.39,16.22,70.2
0,22.44,7.55,6.43,7.65,8.95,15.62,71.0
0,24.63,8.87,7.86,11.8,6.17,16.77,67.0
1,4.65,1.98,2.29,1.48,60.68,4.91,81.8
1,8.03,9.3,2.56,4.02,15.77,8.46,73.8
1,5.24,2.35,2.45,3.35,41.66,4.17,74.1
1,4.69,1.93,2.29,1.55,61.28,5.06,82.0
1,5.73,9.41,2.48,3.97,17.1,5.31,73.6
1,5.1,2.33,2.45,3.27,43.61,4.19,74.2
0,21.84,7.05,6.25,6.82,10.0,15.43,71.8
1,4.46,1.79,2.24,1.34,62.53,4.74,82.6
0,23.61,6.72,6.53,6.46,11.24,15.95,72.8
1,5.38,8.37,2.48,3.61,22.1,4.89,73.8
0,25.97,6.97,8.44,5.04,13.15,15.82,72.5
0,24.99,9.05,7.99,11.57,6.34,16.91,68.0
1,16.55,8.87,3.24,4.16,15.29,12.47,73.2
0,24.52,6.5,7.29,5.5,12.4,15.88,72.3
0,24.4,8.91,7.71,10.68,6.62,16.7,69.4
1,5.06,2.35,2.44,3.22,46.45,4.19,74.8
1,4.5,1.81,2.24,1.37,62.53,4.84,81.9
1,4.91,2.13,2.44,3.25,53.21,4.33,75.4
0,22.54,7.11,6.35,6.61,10.2,15.82,72.6
0,25.85,37.43,27.53,48.6,2.19,15.88,56.2
1,4.99,2.26,2.42,3.52,50.06,4.25,74.8
1,4.93,2.04,2.42,3.05,61.9,4.41,77.2
1,5.35,2.45,2.45,3.41,31.91,4.37,73.8
0,22.24,8.27,6.22,6.58,10.29,15.82,72.5
0,23.18,6.42,6.48,5.75,12.3,15.56,72.6
1,4.67,1.94,2.3,1.62,63.81,5.06,81.7
1,5.35,2.35,2.47,3.33,39.01,4.25,73.9
1,4.91,2.07,2.42,3.11,61.9,4.37,76.3
0,23.39,42.56,29.87,49.38,2.19,14.58,55.8
1,4.91,2.04,2.41,2.72,62.53,4.39,77.5
1,4.54,1.87,2.27,1.41,63.16,4.89,81.8
1,4.95,2.03,2.42,2.92,61.28,4.41,76.0
1,4.73,1.98,2.3,1.58,63.81,4.98,82.1
1,4.88,2.06,2.41,3.11,58.36,4.35,76.5
1,4.82,2.01,2.39,2.57,64.47,4.39,77.9
1,4.71,1.98,2.29,1.55,80.86,5.09,81.6
1,10.33,8.23,2.59,3.3,17.67,9.59,73.8
0,25.35,9.12,8.51,13.68,5.91,16.7,64.7
1,5.15,2.32,2.45,3.35,41.35,4.17,74.1
0,24.63,8.98,7.92,11.43,6.44,16.98,68.4
1,4.67,1.93,2.27,1.52,62.53,4.95,82.4
0,24.63,8.98,7.95,11.8,6.27,17.12,67.0
1,4.54,1.89,2.27,1.45,62.53,4.87,82.0
0,24.63,6.91,7.23,5.91,11.66,16.22,72.5
1,4.54,1.89,2.3,1.42,60.68,4.89,81.5
1,4.88,2.03,2.42,2.74,62.53,4.35,77.4
0,21.93,6.83,6.19,6.3,10.79,15.31,72.4
1,5.08,2.08,2.44,3.32,54.67,4.33,75.7
0,25.72,7.34,8.92,5.13,12.66,16.42,72.5
0,23.83,6.37,7.11,5.45,12.82,15.56,72.4
0,26.1,36.57,27.12,48.6,2.19,15.25,56.5
0,23.61,8.63,7.32,9.52,7.3,16.35,70.1
0,21.74,6.66,6.09,6.2,11.1,15.69,72.2
1,5.59,9.6,2.5,4.02,17.67,5.24,73.6
0,22.14,7.02,6.27,6.48,10.54,15.25,72.7
0,23.61,8.53,7.23,9.15,7.54,16.84,70.2
0,24.75,7.61,7.58,4.94,13.84,15.56,72.8
1,4.54,1.81,2.24,1.38,61.28,4.78,82.9
1,4.67,1.87,2.27,1.39,61.28,4.84,82.0
0,27.01,8.23,8.88,4.98,12.51,16.7,72.7
0,25.11,9.12,8.44,13.68,5.86,15.62,64.6
0,22.54,7.79,6.61,8.01,8.51,16.08,70.9
1,5.38,2.35,2.45,3.41,35.88,4.23,73.7
0,24.75,6.58,7.43,5.61,12.3,15.43,72.3
0,20.06,29.08,24.37,34.25,2.18,13.56,56.5
1,4.91,2.04,2.41,2.99,61.28,4.37,76.8
1,4.95,2.18,2.42,3.52,52.74,4.31,75.1
1,4.65,1.92,2.29,1.48,62.53,4.98,81.7
1,4.54,1.81,2.24,1.4,63.16,4.78,82.5
0,22.75,33.77,26.98,42.44,2.23,14.64,56.5
0,23.28,6.69,6.56,6.23,11.38,15.75,72.9
0,22.03,6.97,6.22,6.61,10.29,15.62,72.5
0,24.75,9.05,8.08,12.34,6.07,16.98,66.8
1,5.42,8.5,2.48,3.72,20.91,4.93,73.7
1,13.13,9.9,2.67,4.07,15.02,10.65,73.6
0,25.72,7.14,8.31,5.59,11.71,16.7,72.2
0,22.03,8.4,6.38,4.5,14.02,14.88,73.0
1,4.91,2.07,2.41,2.73,63.16,4.41,77.5
1,5.38,3.77,2.48,3.49,26.84,4.57,73.8
1,5.38,2.38,2.45,3.49,38.46,4.25,73.9
1,5.4,2.39,2.45,3.38,35.4,4.29,73.8
1,4.57,1.86,2.27,1.42,61.28,4.89,82.1
0,24.29,6.94,6.97,6.13,11.24,16.15,72.8
1,5.8,8.27,2.5,3.66,20.09,5.04,73.7
0,22.03,6.99,6.14,6.61,10.29,15.25,72.4
0,22.86,34.15,26.98,42.74,2.23,14.4,56.5
1,4.5,1.83,2.26,1.39,62.53,4.89,81.9
1,5.4,2.38,2.45,3.49,35.16,4.29,73.8
0,23.72,7.64,6.02,3.83,14.57,15.88,72.7
1,5.64,9.67,2.5,3.97,18.17,5.22,74.2
1,9.66,10.18,2.59,4.33,14.89,9.4,73.9
0,22.14,8.04,6.25,4.39,14.44,14.82,72.9
1,4.5,1.78,2.24,1.37,64.47,4.78,83.4
0,22.24,7.14,6.22,6.77,10.08,15.62,71.8
1,4.57,1.89,2.29,1.46,63.81,4.93,82.2
1,5.42,8.47,2.5,3.72,21.22,4.91,73.7
0,24.87,9.09,7.92,11.25,6.52,16.98,68.7
0,22.54,7.64,6.48,7.77,8.78,15.69,70.8
1,4.86,2.08,2.44,3.24,58.36,4.35,76.0
0,25.85,37.88,28.09,48.22,2.19,15.88,56.2
0,23.61,8.53,7.26,9.41,7.42,16.56,70.3
0,23.61,8.67,7.29,9.48,7.36,16.28,70.2
0,24.17,32.85,26.07,41.25,2.23,14.76,56.5
1,4.57,1.83,2.27,1.4,62.53,4.84,82.1
1,18.95,6.97,5.05,4.43,16.34,13.13,72.9
1,4.91,2.04,2.41,2.69,64.47,4.41,77.7
0,22.86,6.5,6.22,6.48,11.52,15.75,72.8
1,5.33,2.33,2.45,3.38,39.86,4.21,74.0
1,5.08,2.24,2.42,3.08,47.6,4.21,74.8
1,4.65,1.97,2.32,1.51,62.53,5.0,82.0
1,4.69,2.01,2.3,1.6,62.53,5.0,82.0
1,4.88,2.06,2.42,3.13,58.93,4.41,76.0
1,4.91,2.07,2.41,3.05,61.9,4.41,76.6
1,4.69,2.01,2.29,1.62,63.16,4.98,82.0
1,20.6,8.17,5.55,4.82,14.38,14.0,72.9
0,24.17,8.91,7.65,10.51,6.7,16.7,68.8
1,4.52,1.85,2.26,1.41,65.83,4.8,81.9
1,4.63,1.94,2.3,1.48,64.47,4.53,81.7
1,4.61,1.9,2.26,1.46,62.53,4.89,82.4
0,22.03,33.96,28.52,42.13,2.41,15.18,56.6
1,5.4,2.44,2.47,3.46,31.91,4.33,73.9
0,24.17,5.94,7.2,5.06,14.02,15.31,72.4
1,4.67,1.9,2.27,1.39,62.53,5.15,81.8
1,20.33,9.41,5.14,4.8,13.49,14.17,72.9
0,16.01,4.39,4.22,5.09,16.72,12.37,72.6
0,23.61,8.6,7.29,9.48,7.33,16.02,70.2
1,4.46,1.79,2.27,1.37,64.47,4.78,83.4
1,4.48,1.78,2.26,1.32,62.53,4.74,82.6
0,22.75,41.5,29.72,49.38,2.22,14.4,55.1
1,4.52,1.82,2.26,1.38,64.47,4.84,82.5
1,5.35,7.58,2.48,3.54,23.41,4.72,73.7
0,25.11,9.16,8.18,12.8,5.88,16.49,66.1
0,25.23,9.05,8.44,13.74,5.86,15.95,63.1
0,21.93,33.77,28.66,42.44,2.41,14.82,56.6
1,5.9,8.94,2.5,3.39,17.83,5.57,73.5
1,5.1,2.36,2.45,3.38,41.66,4.23,74.2
1,5.13,2.32,2.44,3.33,43.61,4.25,74.4
0,24.63,9.12,7.95,11.57,6.34,17.05,67.9
0,21.64,5.25,5.99,4.58,15.77,13.89,72.1
0,24.4,6.47,6.86,4.31,14.7,15.5,72.5
0,22.03,7.4,6.38,7.5,9.02,15.56,71.7
0,23.83,8.63,7.32,9.6,7.16,16.15,70.1
1,7.1,9.63,2.53,4.0,15.7,7.3,73.7
1,4.69,1.94,2.29,1.52,61.28,5.04,82.2
0,24.52,9.01,7.8,10.98,6.6,16.84,68.8
1,18.47,9.41,3.89,4.33,14.26,13.29,73.1
1,5.38,2.41,2.45,3.46,36.62,4.23,73.7
0,23.61,6.66,6.78,5.84,11.8,15.88,72.6
1,4.59,1.9,2.29,1.4,63.16,4.82,81.6
0,23.61,8.67,7.26,9.3,7.36,16.7,70.2
1,4.71,1.86,2.26,1.42,61.28,4.91,82.1
1,4.46,1.79,2.24,1.4,63.81,4.82,82.4
0,23.83,8.6,7.23,9.23,7.45,16.7,70.0
1,4.84,2.07,2.42,2.98,58.36,4.37,75.8
1,5.04,2.3,2.44,3.22,46.45,4.21,74.6
0,21.74,32.67,27.81,41.25,2.37,14.94,56.5
1,4.75,1.94,2.29,1.57,62.53,5.06,82.1
1,10.95,8.6,2.62,4.06,16.2,9.66,73.9
0,24.4,8.77,7.46,4.88,12.99,15.75,72.9
1,4.69,1.96,2.29,1.55,63.16,5.09,82.1
1,10.62,10.3,2.59,4.44,14.57,9.78,74.0
0,21.93,6.85,6.14,6.56,10.33,15.43,72.5
1,4.97,2.07,2.41,3.17,61.28,4.43,76.6
0,22.65,8.01,6.72,8.14,8.34,16.35,71.0
0,24.52,6.72,7.14,5.57,13.43,16.22,72.4
1,4.82,2.0,2.42,2.45,64.47,4.35,78.1
0,24.52,8.98,7.83,10.98,6.57,16.7,68.8
1,4.52,1.86,2.27,1.4,63.16,4.74,83.0
1,4.73,1.87,2.29,1.41,62.53,4.91,82.2
1,4.88,2.0,2.41,2.69,62.53,4.33,77.9
1,4.88,2.03,2.41,2.42,62.53,4.37,77.7
1,20.42,9.34,5.23,4.82,13.43,14.17,72.8
1,4.52,1.82,2.27,1.4,64.47,4.84,81.9
0,21.64,31.8,27.12,39.56,2.36,14.82,56.5
1,5.47,7.85,2.5,3.49,20.7,5.0,73.6
1,4.75,2.04,2.3,1.6,61.28,4.98,82.6
0,22.24,6.83,6.22,6.38,10.62,15.5,72.5
1,4.93,2.04,2.42,3.13,61.28,4.37,76.0
1,4.54,1.81,2.26,1.37,63.81,4.87,82.3
1,5.06,2.32,2.45,3.32,43.95,4.19,74.4
1,4.63,1.9,2.29,1.47,61.28,4.93,81.8
0,22.14,7.52,6.43,7.59,9.1,15.56,71.1
1,13.5,8.94,2.72,4.04,15.56,11.39,72.9
1,13.89,9.37,2.7,4.18,14.96,11.39,73.5
1,4.46,1.78,2.24,1.34,63.81,4.74,83.1
0,25.72,7.14,8.18,5.5,12.0,16.77,72.2
1,4.69,1.98,2.32,1.6,62.53,5.04,82.2
1,4.97,2.04,2.42,3.08,61.9,4.37,76.1
1,4.75,1.98,2.3,1.59,63.16,5.13,81.5
1,4.69,1.83,2.3,1.45,61.9,4.93,82.2
0,26.1,37.88,27.67,48.98,2.19,15.56,56.2
1,4.71,1.93,2.27,1.41,63.81,5.04,81.8
0,23.61,8.57,7.23,9.26,7.48,16.63,70.1
1,12.87,10.3,2.65,4.13,14.63,10.7,73.8
1,4.93,2.11,2.44,3.3,54.67,4.35,75.6
0,23.5,8.6,7.17,8.94,7.62,16.77,70.3
0,23.07,5.79,6.81,4.94,14.51,14.82,72.2
1,15.37,9.48,2.81,4.24,14.7,12.13,73.4
1,5.13,2.23,2.44,3.49,49.22,4.25,74.9
0,21.74,31.8,27.12,39.29,2.38,14.88,56.5
1,8.23,9.09,2.54,3.74,16.49,8.46,73.8
1,4.86,2.13,2.42,3.33,53.21,4.29,75.2
0,24.4,6.99,6.92,6.2,11.15,16.08,72.7
1,4.48,1.82,2.24,1.37,64.47,4.8,83.1
1,4.73,1.98,2.3,1.59,62.53,5.02,82.0
0,22.24,6.85,6.19,6.38,10.66,15.37,72.5
1,5.17,2.32,2.47,3.28,41.35,4.17,74.1
1,18.87,9.09,4.42,4.5,14.02,13.4,73.0
0,19.8,5.41,5.28,6.13,13.15,14.58,72.8
0,25.35,9.3,8.44,13.23,5.93,16.84,65.9
0,24.87,6.85,7.43,5.96,12.99,16.42,72.5
1,4.84,2.01,2.41,2.66,63.81,4.39,77.8
0,23.95,8.67,7.35,9.71,7.11,16.02,70.1
1,4.71,1.96,2.3,1.57,62.53,5.02,82.3
0,25.23,7.14,7.77,6.01,12.61,16.49,72.5
0,24.17,7.05,6.78,5.87,11.29,15.88,72.7
0,23.95,32.49,26.07,41.83,2.24,14.7,56.5
0,21.64,32.14,27.25,39.83,2.37,14.76,56.5
1,5.38,2.51,2.45,3.44,30.74,4.39,73.9
0,22.14,8.27,6.48,4.52,13.96,14.76,73.7
0,25.72,6.8,8.11,5.0,13.32,15.95,72.5
1,5.13,2.23,2.44,3.52,48.4,4.25,75.5
0,21.25,5.57,5.75,5.15,14.83,14.34,72.4
1,13.03,9.98,2.65,4.07,14.89,10.7,73.7
1,4.54,1.86,2.27,1.41,63.16,4.91,82.0
1,4.5,1.81,2.24,1.4,64.47,4.78,82.7
1,4.84,2.0,2.39,2.52,62.53,4.31,78.2
0,20.24,30.8,26.07,33.41,2.12,13.56,56.5
1,4.91,2.04,2.44,3.14,61.9,4.41,76.5
1,5.47,8.6,2.5,3.81,20.09,5.0,73.7
0,21.93,7.31,6.3,7.13,9.5,15.5,71.4
0,22.24,33.96,27.67,42.44,2.26,14.4,56.5
0,24.17,6.88,6.83,6.2,11.1,16.08,72.8
0,25.85,37.43,27.67,48.6,2.21,15.69,56.2
1,4.95,2.17,2.42,3.56,50.92,4.27,75.1
1,4.54,1.82,2.27,1.18,64.47,4.8,82.3
1,4.52,1.83,2.26,1.39,63.16,4.93,82.0
0,22.86,6.37,5.84,4.18,14.38,15.18,72.2
1,4.71,1.98,2.32,1.55,63.81,4.98,81.8
1,4.5,1.82,2.26,1.38,62.53,4.78,83.1
0,25.85,37.21,27.25,48.6,2.19,15.31,56.2
0,22.96,41.24,29.26,48.98,2.23,14.58,55.8
1,4.88,2.07,2.44,3.14,60.09,4.43,76.0
0,24.52,6.37,7.52,4.64,14.51,15.5,72.1
1,4.46,1.79,2.26,1.35,63.81,4.72,82.6
0,19.54,28.49,24.96,31.82,2.26,13.72,56.5
1,5.31,2.33,2.42,3.25,40.45,4.19,74.0
0,24.52,6.24,7.43,5.04,13.84,15.62,72.5
1,4.52,1.82,2.24,1.37,65.83,4.82,82.5
0,24.4,8.87,7.71,10.89,6.47,16.42,68.8
0,23.07,40.99,29.11,48.22,2.22,14.23,55.4
0,22.24,6.74,6.22,6.18,11.19,15.62,71.8
0,21.93,6.85,6.22,6.4,10.62,15.25,72.6
0,23.5,8.53,7.14,8.94,7.68,16.84,70.5
0,18.87,25.79,22.2,28.82,2.08,12.62,56.5
0,24.75,9.09,8.08,12.49,5.93,16.63,66.4
1,4.71,2.03,2.32,1.59,62.53,5.0,82.5
1,4.73,2.0,2.32,1.56,61.28,5.02,82.0
1,4.61,1.92,2.29,1.47,62.53,4.91,81.9
1,4.93,2.03,2.41,3.1,61.9,4.39,76.5
0,22.65,33.4,26.72,42.13,2.26,14.46,56.5
0,24.52,8.87,7.71,10.81,6.52,16.42,69.2
1,4.67,1.96,2.29,1.57,63.81,5.09,81.9
0,23.72,8.6,7.14,8.98,7.51,16.77,70.3
0,23.39,6.69,6.64,6.25,11.33,15.69,72.8
0,22.86,8.14,6.83,8.37,8.15,16.28,70.8
1,4.67,1.96,2.27,1.46,64.47,5.02,81.8
1,4.71,1.94,2.3,1.54,62.53,5.06,82.0
1,7.36,8.84,2.56,3.71,17.1,7.75,73.7
0,23.07,6.63,6.25,5.59,12.15,15.75,72.6
0,22.03,7.11,6.22,6.8,10.08,15.5,72.3
1,4.86,1.98,2.41,2.55,62.53,4.33,77.7
0,24.87,6.94,7.26,5.89,11.71,16.22,72.5
0,22.03,6.72,6.19,6.2,11.1,15.5,72.3
1,4.75,2.03,2.32,1.62,62.53,5.0,82.5
0,22.96,5.79,6.4,4.68,14.57,15.18,72.1
1,4.86,2.1,2.44,3.16,52.74,4.29,75.4
1,4.88,2.06,2.41,3.21,58.36,4.39,75.9
0,23.83,8.67,7.41,9.75,7.11,16.63,70.0
1,17.26,6.11,4.52,4.0,18.25,12.32,73.0
1,5.35,6.85,2.47,3.52,24.43,4.57,73.7
0,20.97,29.08,24.03,35.13,2.23,14.11,56.5
1,5.19,2.36,2.45,3.41,41.98,4.19,74.2
1,4.52,1.83,2.24,1.4,63.16,4.84,82.1
1,4.82,2.03,2.41,2.57,65.15,4.39,77.7
1,4.54,1.85,2.24,1.37,63.16,4.74,83.0
1,4.88,2.07,2.42,2.96,62.53,4.29,77.3
1,4.71,2.04,2.32,1.6,63.16,4.95,82.1
1,4.97,3.17,2.44,3.41,50.92,4.29,75.1
1,4.52,1.82,2.26,1.4,64.47,5.11,82.0
1,5.78,8.7,2.5,3.72,17.67,5.36,73.6
0,22.24,7.49,6.38,7.5,9.1,15.75,71.1
1,4.88,2.0,2.42,2.86,61.28,4.35,76.1
0,21.93,33.77,28.37,42.13,2.38,14.58,56.6
0,23.61,6.77,6.56,6.33,11.29,16.22,72.3
0,24.63,8.77,8.05,13.45,5.86,15.37,62.0
1,16.42,5.91,4.24,3.72,19.14,12.27,73.1
0,24.52,9.05,7.95,11.75,6.27,16.84,67.7
0,26.1,6.85,8.08,5.04,13.21,15.88,72.5
1,4.82,1.97,2.39,2.62,63.81,4.33,77.9
0,22.86,33.96,26.98,42.44,2.23,14.58,56.5
0,25.47,9.23,8.41,13.62,5.88,16.77,64.8
0,25.6,36.35,27.95,48.6,2.19,15.75,56.5
1,5.08,2.18,2.44,3.32,50.49,4.23,75.1
0,23.28,8.27,7.0,8.67,7.93,16.42,70.9
0,25.11,6.83,7.71,5.66,12.1,15.95,72.3
1,4.67,1.97,2.3,1.59,62.53,5.04,82.1
0,24.87,9.05,8.05,12.29,6.07,16.98,66.8
0,25.47,9.23,8.51,13.62,5.88,16.77,64.6
0,23.72,8.53,7.17,9.01,7.54,16.7,70.2
0,23.5,41.5,29.41,49.77,2.21,14.76,55.8
1,4.63,1.96,2.27,1.5,63.81,4.95,82.0
0,27.15,8.11,9.06,5.13,12.51,16.7,72.6
1,4.5,1.82,2.26,1.42,62.53,4.82,83.3
0,21.93,33.21,26.72,41.25,2.24,14.23,56.5
0,25.35,9.3,8.41,13.23,5.98,16.77,65.9
1,5.4,7.7,2.47,3.56,22.92,4.74,73.7
0,22.03,7.55,6.4,7.56,9.02,15.43,71.1
1,5.13,2.33,2.44,3.32,42.62,4.19,74.2
1,4.67,2.0,2.32,1.56,61.28,5.0,81.9
1,4.63,1.92,2.27,1.36,62.53,5.11,82.0
0,21.64,32.14,27.25,40.11,2.37,14.82,56.5
0,21.64,32.32,27.39,40.39,2.37,14.94,56.5
1,4.88,2.04,2.42,2.76,64.47,4.43,77.5
1,4.5,1.81,2.26,1.34,63.16,4.74,82.5
1,4.46,1.82,2.26,1.4,64.47,4.8,82.6
0,20.51,30.0,24.96,35.58,2.19,13.72,56.5
0,26.48,7.16,8.81,5.09,12.77,15.69,72.5
0,23.28,8.4,7.06,8.8,7.78,16.56,70.7
0,23.39,6.47,6.61,5.8,12.05,15.82,72.7
0,23.61,41.5,29.72,49.38,2.19,14.82,56.2
1,4.67,1.9,2.29,1.36,62.53,5.17,82.0
0,21.93,33.77,28.37,42.13,2.38,14.76,56.5
0,23.07,41.24,28.96,48.22,2.21,14.64,55.4
1,5.08,2.18,2.44,3.35,50.49,4.25,75.0
0,22.54,7.85,6.61,8.01,8.51,16.08,70.9
1,4.69,1.93,2.27,1.37,63.16,5.04,81.8
1,4.42,1.75,2.24,1.35,63.16,4.78,82.8
1,4.88,2.06,2.41,3.22,59.5,4.37,76.0
0,25.6,6.77,7.99,4.82,14.02,15.82,72.6
1,4.67,1.94,2.29,1.52,63.81,5.06,81.9
0,22.24,30.8,24.96,36.99,2.17,14.11,56.5
1,9.22,10.18,2.59,4.22,14.76,9.26,73.8
1,18.87,9.01,4.52,4.48,14.2,13.34,72.8
1,4.93,2.07,2.41,3.22,59.5,4.43,76.0
1,5.35,2.53,2.45,3.44,29.64,4.47,74.5
1,4.67,1.97,2.32,1.56,63.81,5.09,82.1
1,4.54,1.89,2.27,1.47,63.81,4.89,82.2
1,4.91,2.04,2.41,3.01,61.28,4.39,77.2
1,4.93,2.07,2.41,2.96,61.9,4.41,77.3
0,21.93,7.05,6.22,6.74,10.04,15.62,72.3
1,4.71,1.98,2.29,1.57,61.9,5.09,81.9
0,20.97,5.81,5.6,6.33,12.45,15.0,72.8
1,4.67,1.94,2.3,1.48,63.81,4.95,82.0
0,22.14,33.96,28.81,42.44,2.42,14.64,56.6
0,24.29,8.87,7.65,10.38,6.81,16.49,69.5
0,23.83,8.57,7.17,9.05,7.48,16.7,70.3
1,20.88,8.43,5.6,4.86,14.26,14.11,72.9
1,6.18,9.6,2.51,3.91,16.57,6.0,73.6
1,4.88,2.03,2.42,2.73,64.47,4.39,77.5
1,4.69,1.98,2.29,1.58,63.16,5.06,82.8
0,26.1,36.35,27.12,48.6,2.18,15.62,56.2
0,24.17,8.91,7.62,10.38,6.75,16.7,69.5
1,5.4,7.82,2.48,3.36,23.16,4.78,73.7
0,23.18,6.63,6.45,6.23,11.42,15.75,72.9
0,22.65,33.96,26.85,42.44,2.22,14.52,56.5
1,5.47,8.7,2.48,3.76,20.8,4.98,73.8
